"0","35","40276"
"24","0","28625"
"1","5","44897"
"1","61","38299"
"1","16","44197"
"1","38","28797"
"36","1","17451"
"2","35","1417"
"2","30","279"
"2","17","15088"
"58","2","11270"
"3","52","35002"
"48","3","34403"
"4","33","58483"
"4","37","25139"
"11","4","62424"
"5","41","29977"
"5","49","30642"
"37","5","31362"
"6","47","35154"
"6","29","58834"
"6","58","40770"
"1","6","18848"
"7","60","18201"
"7","28","48636"
"7","50","23604"
"10","7","12620"
"8","15","17130"
"59","8","21188"
"9","25","56935"
"9","33","24552"
"9","51","55325"
"9","8","2191"
"42","9","45585"
"10","39","24592"
"10","52","13471"
"10","53","28428"
"10","45","41934"
"32","10","43949"
"11","40","48264"
"11","54","50747"
"11","46","54367"
"11","9","64117"
"36","11","18706"
"12","41","22014"
"12","14","33477"
"12","51","23348"
"52","12","53236"
"13","47","30990"
"13","40","590"
"38","13","30149"
"14","15","43708"
"14","26","11145"
"14","45","31553"
"26","14","23776"
"15","51","34426"
"15","18","61201"
"15","30","48558"
"15","42","55394"
"50","15","21885"
"16","28","17562"
"16","50","45376"
"10","16","64463"
"17","10","35643"
"17","21","56002"
"9","17","10987"
"18","7","58692"
"18","54","59670"
"18","32","28818"
"18","37","58566"
"51","18","63001"
"19","48","15130"
"49","19","58825"
"20","2","12252"
"20","37","49876"
"58","20","44375"
"21","34","59931"
"63","21","39220"
"22","7","31296"
"22","53","49662"
"22","25","52369"
"59","22","47838"
"23","27","64582"
"23","19","12791"
"60","23","28300"
"24","43","49929"
"24","5","6344"
"24","60","60302"
"38","24","34438"
"25","31","44147"
"25","15","39679"
"25","45","27666"
"25","17","40010"
"41","25","38749"
"26","44","27382"
"33","26","61625"
"27","62","56347"
"27","45","45111"
"10","27","29926"
"28","38","32982"
"28","7","44964"
"2","28","15393"
"29","34","32948"
"29","16","6111"
"29","15","63238"
"29","60","44865"
"49","29","50712"
"30","22","11352"
"30","32","21529"
"3","30","53154"
"31","62","32363"
"12","31","41708"
"32","54","1778"
"55","32","43779"
"33","25","60375"
"61","33","33794"
"34","44","53119"
"38","34","37625"
"35","19","63897"
"35","39","347"
"35","61","34415"
"55","35","22771"
"36","28","65234"
"36","3","42868"
"36","25","38221"
"32","36","2322"
"37","7","25580"
"37","44","24060"
"60","37","54557"
"38","48","41438"
"38","2","30532"
"38","50","24490"
"38","45","54947"
"13","38","22879"
"39","49","60066"
"39","10","299"
"39","33","56403"
"12","39","10870"
"40","55","12671"
"40","3","55783"
"56","40","25195"
"41","51","22353"
"41","8","553"
"41","33","23726"
"49","41","14061"
"42","47","29835"
"42","48","62430"
"31","42","20094"
"43","25","56260"
"16","43","43626"
"44","20","26805"
"44","53","15880"
"44","32","55185"
"23","44","24802"
"45","53","12272"
"45","14","46984"
"28","45","10858"
"46","10","37352"
"12","46","33947"
"47","24","8854"
"47","36","29978"
"47","18","2226"
"58","47","41135"
"48","59","55750"
"48","42","25341"
"48","53","19736"
"18","48","20861"
"49","37","2621"
"50","18","41263"
"50","58","36757"
"50","23","20690"
"36","50","45478"
"51","50","21019"
"51","42","51095"
"55","51","45633"
"52","11","56208"
"52","57","28692"
"1","52","39748"
"53","46","34040"
"53","47","37474"
"53","19","59299"
"53","56","26634"
"46","53","6078"
"54","8","23414"
"54","29","17782"
"54","13","8596"
"37","54","23766"
"55","49","4705"
"55","18","50135"
"41","55","27400"
"56","13","5532"
"3","56","16518"
"57","54","16956"
"57","11","21380"
"57","17","3596"
"47","57","43997"
"58","26","7083"
"58","56","24089"
"58","54","53788"
"58","30","49542"
"24","58","58715"
"59","9","15978"
"59","19","16159"
"59","6","673"
"37","59","58760"
"60","54","54423"
"60","29","30496"
"12","60","31386"
"61","17","36163"
"61","31","16348"
"61","39","59311"
"33","61","34116"
"62","10","40280"
"13","62","63442"
"63","62","46441"
"63","35","6270"
"8","63","63290"
